scenario,policy,step_idx,controller_queue,controller_latency_ms,attack_leakage_rate,critical_slice_survival_rate,ai_deadline_miss_rate,overall_sla_rate
encrypted_ddos,failure_aware,7,537,20.812,0.0,1.0,0.0,0.4
encrypted_ddos,failure_aware,8,581,22.02,0.0,1.0,0.0,0.4
encrypted_ddos,failure_aware,9,683,25.572,0.0,1.0,0.0,0.4
encrypted_ddos,failure_aware,10,787,28.508,0.0,0.6667,0.1667,0.3333
encrypted_ddos,failure_aware,11,846,29.62,0.0,0.6667,0.1667,0.3333
encrypted_ddos,failure_aware,12,903,31.192,0.0,0.0,0.5,0.2
encrypted_ddos,failure_aware,13,1010,34.788,0.0,0.0,0.5,0.2
encrypted_ddos,failure_aware,14,1114,37.664,0.0,0.0,0.5,0.2
encrypted_ddos,failure_aware,15,1172,38.736,0.0,0.0,0.5,0.2
encrypted_ddos,failure_aware,16,1230,40.36,0.0,0.0,0.5,0.2
encrypted_ddos,failure_aware,17,1334,43.824,0.0,0.0,0.5,0.2
mixed_failure,static_qos,0,98,9.108,1.0,1.0,0.5,0.6667
mixed_failure,static_qos,1,245,13.812,1.0,1.0,0.5,0.6
mixed_failure,static_qos,2,387,17.728,1.0,1.0,0.1667,0.6667
mixed_failure,static_qos,3,481,19.784,1.0,1.0,0.3333,0.7333
mixed_failure,static_qos,4,586,22.856,1.0,1.0,0.3333,0.5333
mixed_failure,static_qos,5,728,27.276,1.0,0.0,0.8333,0.4
mixed_failure,static_qos,6,876,31.492,1.0,0.0,0.8333,0.4
mixed_failure,static_qos,7,979,33.836,1.0,0.0,0.6667,0.4667
mixed_failure,static_qos,8,1080,36.64,1.0,0.0,0.5,0.4
mixed_failure,static_qos,9,1242,41.908,1.0,0.0,1.0,0.2667
mixed_failure,static_qos,10,1406,46.524,1.0,0.0,1.0,0.2667
mixed_failure,static_qos,11,1526,49.356,1.0,0.0,1.0,0.3333
mixed_failure,static_qos,12,1643,52.596,1.0,0.0,1.0,0.3333
mixed_failure,static_qos,13,1809,57.832,1.0,0.0,1.0,0.1333
mixed_failure,static_qos,14,1973,62.4,1.0,0.0,1.0,0.2667
mixed_failure,static_qos,15,2094,65.272,1.0,0.0,1.0,0.2
mixed_failure,static_qos,16,2215,68.66,1.0,0.0,1.0,0.2
mixed_failure,static_qos,17,2379,73.768,1.0,0.0,1.0,0.2
mixed_failure,throughput_first,0,124,9.932,1.0,1.0,0.0,0.6
mixed_failure,throughput_first,1,313,16.004,1.0,1.0,0.0,0.6
mixed_failure,throughput_first,2,489,20.776,1.0,1.0,0.0,0.6
