scenario,policy,step_idx,cell_id,slice_id,kind,latency_ms,service_ratio,sla_met,isolated,suspicious,mission_critical,ai_enabled,deadline_missed
normal,throughput_first,1,cell-east,cell-east:broadband,broadband,3.2192,0.9808,True,False,False,False,False,False
normal,throughput_first,1,cell-east,cell-east:background,background,7.1097,0.5231,False,False,False,False,False,False
normal,throughput_first,2,cell-west,cell-west:mission,mission_critical,3.0426,1.0,True,False,False,True,True,False
normal,throughput_first,2,cell-west,cell-west:ai-edge,ai_edge,3.0426,1.0,True,False,False,False,True,False
normal,throughput_first,2,cell-west,cell-west:broadband,broadband,3.8428,0.9059,True,False,False,False,False,False
normal,throughput_first,2,cell-west,cell-west:background,background,7.436,0.4831,False,False,False,False,False,False
normal,throughput_first,2,cell-central,cell-central:mission,mission_critical,3.0426,1.0,True,False,False,True,True,False
normal,throughput_first,2,cell-central,cell-central:ai-edge,ai_edge,3.0426,1.0,True,False,False,False,True,False
normal,throughput_first,2,cell-central,cell-central:broadband,broadband,3.0426,1.0,True,False,False,False,False,False
normal,throughput_first,2,cell-central,cell-central:background,background,6.9828,0.5364,False,False,False,False,False,False
normal,throughput_first,2,cell-east,cell-east:mission,mission_critical,3.0426,1.0,True,False,False,True,True,False
normal,throughput_first,2,cell-east,cell-east:ai-edge,ai_edge,3.0426,1.0,True,False,False,False,True,False
normal,throughput_first,2,cell-east,cell-east:broadband,broadband,3.0426,1.0,True,False,False,False,False,False
normal,throughput_first,2,cell-east,cell-east:background,background,6.8817,0.5483,False,False,False,False,False,False
normal,throughput_first,3,cell-west,cell-west:mission,mission_critical,3.0445,1.0,True,False,False,True,True,False
normal,throughput_first,3,cell-west,cell-west:ai-edge,ai_edge,3.0445,1.0,True,False,False,False,True,False
normal,throughput_first,3,cell-west,cell-west:broadband,broadband,3.0445,1.0,True,False,False,False,False,False
normal,throughput_first,3,cell-west,cell-west:background,background,6.4057,0.6046,False,False,False,False,False,False
normal,throughput_first,3,cell-central,cell-central:mission,mission_critical,3.0445,1.0,True,False,False,True,True,False
normal,throughput_first,3,cell-central,cell-central:ai-edge,ai_edge,3.0445,1.0,True,False,False,False,True,False
normal,throughput_first,3,cell-central,cell-central:broadband,broadband,4.1412,0.871,True,False,False,False,False,False
normal,throughput_first,3,cell-central,cell-central:background,background,7.596,0.4645,False,False,False,False,False,False
normal,throughput_first,3,cell-east,cell-east:mission,mission_critical,3.0445,1.0,True,False,False,True,True,False
normal,throughput_first,3,cell-east,cell-east:ai-edge,ai_edge,3.0445,1.0,True,False,False,False,True,False
normal,throughput_first,3,cell-east,cell-east:broadband,broadband,3.0445,1.0,True,False,False,False,False,False
normal,throughput_first,3,cell-east,cell-east:background,background,6.2192,0.6265,False,False,False,False,False,False
normal,throughput_first,4,cell-west,cell-west:mission,mission_critical,3.0445,1.0,True,False,False,True,True,False
normal,throughput_first,4,cell-west,cell-west:ai-edge,ai_edge,3.0445,1.0,True,False,False,False,True,False
normal,throughput_first,4,cell-west,cell-west:broadband,broadband,3.0445,1.0,True,False,False,False,False,False
normal,throughput_first,4,cell-west,cell-west:background,background,6.8724,0.5497,False,False,False,False,False,False
normal,throughput_first,4,cell-central,cell-central:mission,mission_critical,3.0445,1.0,True,False,False,True,True,False
normal,throughput_first,4,cell-central,cell-central:ai-edge,ai_edge,3.0445,1.0,True,False,False,False,True,False
normal,throughput_first,4,cell-central,cell-central:broadband,broadband,3.0445,1.0,True,False,False,False,False,False
normal,throughput_first,4,cell-central,cell-central:background,background,6.7441,0.5647,False,False,False,False,False,False
normal,throughput_first,4,cell-east,cell-east:mission,mission_critical,3.0445,1.0,True,False,False,True,True,False
normal,throughput_first,4,cell-east,cell-east:ai-edge,ai_edge,3.0445,1.0,True,False,False,False,True,False
normal,throughput_first,4,cell-east,cell-east:broadband,broadband,3.0445,1.0,True,False,False,False,False,False
